"nombre","x","y","z","h24","h48","h72"
"Obrajillo",-76.6222,-11.4528,2710,2.63866673286473,3.79436140195613,5.39214133013897
"Pirca",-76.6503,-11.2336,3200,2.63900252624957,3.7946707185435,5.39248441267259
"Huaros",-76.5669,-11.4003,3741,2.63945943638522,3.79524201346801,5.39295311117228
"Milloc",-76.3503,-11.5717,4350,2.63958299291298,3.79550726469417,5.39308127824607
"Marca",-76.3336,-11.4169,4574,2.63958299291298,3.79550726469417,5.39308127824607
"Sheque",-76.5075,-11.6533,3150,2.6387874080929,3.79462381898434,5.39226669524251
"Collac",-76.4705,-11.3611,4493,2.63945943638522,3.79524201346801,5.39295311117228
"Patahuay Sapicancha",-76.3829,-11.342,4550,2.63991741872217,3.7958143316662,5.39342274801245
