"nombre","x","y","z","h24","h48","h72"
"Obrajillo",-76.6222,-11.4528,2710,12.6189287911886,12.9221163478585,13.1226403645931
"Pirca",-76.6503,-11.2336,3200,11.1499869036819,11.4126308203778,11.647839337106
"Huaros",-76.5669,-11.4003,3741,12.3625772734136,12.7187649356163,12.9363967796924
"Milloc",-76.3503,-11.5717,4350,11.2278554948694,11.5692405236107,11.7805659608402
"Marca",-76.3336,-11.4169,4574,11.2278554948694,11.5692405236107,11.7805659608402
"Sheque",-76.5075,-11.6533,3150,12.4199499056708,12.7324213544205,12.9442152582151
"Collac",-76.4705,-11.3611,4493,12.3625772734136,12.7187649356163,12.9363967796924
"Patahuay Sapicancha",-76.3829,-11.342,4550,9.56478638803543,9.91466223128306,10.1226706186027
